mass,kL,G/MQ(%)
700,0.05,0.040173561575625204
700,0.1,0.16069424630250081
700,0.2,0.6427769852100033
700,0.3,1.446248216722507
700,0.4,2.571107940840013
800,0.05,0.05248415073477377
800,0.1,0.20993660293909508
800,0.2,0.8397464117563803
800,0.3,1.8894294264518552
800,0.4,3.3589856470255213
900,0.05,0.06643405551670234
900,0.1,0.26573622206680936
900,0.2,1.0629448882672374
900,0.3,2.3916259986012838
900,0.4,4.25177955306895
1000,0.05,0.08202382825284399
1000,0.1,0.32809531301137596
1000,0.2,1.3123812520455038
1000,0.3,2.952857817102383
1000,0.4,5.249525008182015
1100,0.05,0.09925378435359196
1100,0.1,0.39701513741436784
1100,0.2,1.5880605496574713
1100,0.3,3.5731362367293102
1100,0.4,6.352242198629885
1200,0.05,0.11812411445786108
1200,0.1,0.47249645783144434
1200,0.2,1.8899858313257774
1200,0.3,4.252468120482998
1200,0.4,7.559943325303109
1300,0.05,0.13863493925048695
1300,0.1,0.5545397570019478
1300,0.2,2.218159028007791
1300,0.3,4.99085781301753
1300,0.4,8.872636112031165
1400,0.05,0.16078633812811477
1400,0.1,0.6431453525124591
1400,0.2,2.5725814100498363
1400,0.3,5.788308172612129
1400,0.4,10.290325640199345
1500,0.05,0.18457836504902608
1500,0.1,0.7383134601961043
1500,0.2,2.9532538407844173
1500,0.3,6.644821141764938
1500,0.4,11.81301536313767
1600,0.05,0.2100110577169006
1600,0.1,0.8400442308676024
1600,0.2,3.3601769234704095
1600,0.3,7.560398077808421
1600,0.4,13.440707693881638
1700,0.05,0.2370844431187298
1700,0.1,0.9483377724749192
1700,0.2,3.793351089899677
1700,0.3,8.535039952274271
1700,0.4,15.173404359598708
1800,0.05,0.26579854098117883
1800,0.1,1.0631941639247153
1800,0.2,4.252776655698861
1800,0.3,9.568747475322438
1800,0.4,17.011106622795445
1900,0.05,0.2961533659934862
1900,0.1,1.1846134639739447
1900,0.2,4.738453855895779
1900,0.3,10.661521175765497
1900,0.4,18.953815423583116
2000,0.05,0.32814892927530437
2000,0.1,1.3125957171012175
2000,0.2,5.25038286840487
2000,0.3,11.813361453910952
2000,0.4,21.00153147361948
