MQ	Gamma/MQ(%)	kappaSinglet	BRsinglet(Wt)(%)	BRsinglet(Zb)(%)	BRsinglet(Hb)(%)	kappaDoublet1	BRdoublet1(Zb)(%)	BRdoublet1(Hb)(%)	kappaDoublet2	BRdoublet2(Wt)(%)
700	1	0.18602269007347919	0.4613078764552554	0.27793900704859353	0.2607531164961511	0.2534519328961706	0.5159514960413328	0.48404850395866716	0.2738864112517675	100
700	10	0.5882553971037894	0.46130787645525534	0.27793900704859353	0.2607531164961511	0.8014853853240554	0.5159514960413328	0.48404850395866705	0.8661048797251538	100
700	20	0.8319187607233497	0.46130787645525534	0.27793900704859364	0.26075311649615107	1.133471501969105	0.5159514960413331	0.484048503958667	1.2248572673448308	100
700	30	1.018888235610369	0.46130787645525534	0.27793900704859353	0.26075311649615107	1.388213408905183	0.5159514960413328	0.48404850395866705	1.500137656367298	100
800	1	0.16073765989229347	0.4706294477488017	0.2711462907651947	0.25822426148600347	0.22092138231262973	0.5122050888779505	0.4877949111220494	0.23430313113498702	100
800	10	0.5082971110251425	0.4706294477488018	0.2711462907651947	0.25822426148600347	0.6986147519407467	0.5122050888779506	0.48779491112204953	0.7409315572956717	100
800	20	0.7188406681268195	0.4706294477488018	0.27114629076519475	0.2582242614860035	0.9879904570685195	0.5122050888779505	0.4877949111220495	1.0478354571177568	100
800	30	0.8803964216360254	0.4706294477488018	0.2711462907651947	0.2582242614860036	1.2100362452785014	0.5122050888779504	0.48779491112204953	1.2833311021672342	100
900	1	0.14165406576369624	0.4769301774019652	0.26657699596921053	0.25649282662882417	0.19586156108200467	0.5096394103661911	0.490360589633809	0.20511699372746975	100
900	10	0.4479494876365591	0.47693017740196536	0.2665769959692106	0.2564928266288241	0.6193686390953278	0.509639410366191	0.49036058963380885	0.6486368869852752	100
900	20	0.6334962406737009	0.4769301774019653	0.26657699596921053	0.25649282662882417	0.8759195295171793	0.509639410366191	0.490360589633809	0.9173110826300407	100
900	30	0.7758712718109672	0.47693017740196525	0.26657699596921053	0.2564928266288241	1.072777951527899	0.5096394103661911	0.49036058963380896	1.1234720439218087	100
1000	1	0.12670730271040828	0.4813923276425382	0.2633518676685528	0.25525580468890896	0.17594712597150422	0.5078055757860669	0.4921944242139331	0.18262156651445915	100
1000	10	0.4006836727413165	0.48139232764253814	0.26335186766855284	0.25525580468890907	0.5563936658305195	0.5078055757860668	0.4921944242139332	0.5775001000536278	100
1000	20	0.5666522842122327	0.4813923276425382	0.26335186766855284	0.25525580468890907	0.7868594682360043	0.5078055757860668	0.4921944242139331	0.81670847376766	100
1000	30	0.694004478951261	0.48139232764253814	0.26335186766855284	0.25525580468890907	0.9637020982279594	0.5078055757860669	0.4921944242139332	1.0002595146689937	100
1100	1	0.11466606443435438	0.4846698948303009	0.26098865929746357	0.25434144587223556	0.15973208101386724	0.5064494712792289	0.493550528720771	0.16470693467129546	100
1100	10	0.3626059339401868	0.48466989483030093	0.2609886592974635	0.25434144587223556	0.5051171914023581	0.5064494712792289	0.4935505287207711	0.5208490599858504	100
1100	20	0.5128022295751747	0.4846698948303009	0.2609886592974635	0.25434144587223556	0.7143435826690213	0.5064494712792289	0.4935505287207711	0.7365918045812673	100
1100	30	0.6280519007103674	0.48466989483030093	0.26098865929746357	0.2543414458722355	0.8748886392853775	0.506449471279229	0.49355052872077104	0.9021370349699827	100
1200	1	0.10474799475805908	0.48714916997181296	0.25920427131742263	0.25364655871076447	0.14626829076940417	0.5054184494605896	0.4945815505394106	0.15007720549419432	100
1200	10	0.33124224377084477	0.4871491699718129	0.2592042713174226	0.25364655871076447	0.4625409482910996	0.5054184494605894	0.49458155053941055	0.4745857942347898	100
1200	20	0.46844727357162347	0.4871491699718129	0.25920427131742263	0.25364655871076447	0.6541316822261856	0.5054184494605894	0.49458155053941055	0.6711656667164467	100
1200	30	0.5737283958242185	0.48714916997181296	0.25920427131742263	0.25364655871076447	0.8011444230212734	0.5054184494605894	0.4945815505394106	0.8220067081650847	100
1300	1	0.09643090831860213	0.48907052483053476	0.257823347667161	0.2531061275023044	0.13490740197181875	0.5046163124208992	0.4953836875791009	0.1378892828028202	100
1300	10	0.30494130712566064	0.4890705248305348	0.257823347667161	0.2531061275023044	0.426614663446838	0.5046163124208992	0.4953836875791009	0.4360441985839982	100
1300	20	0.4312521322648886	0.4890705248305348	0.257823347667161	0.2531061275023043	0.6033242429537518	0.5046163124208992	0.4953836875791008	0.6166596194315974	100
1300	30	0.5281738372681095	0.4890705248305348	0.2578233476671608	0.25310612750230427	0.7389182723438206	0.5046163124208991	0.49538368757910095	0.7552507062931381	100
1400	1	0.08935227659895761	0.4905900218586443	0.256732435460749	0.2526775426806067	0.12519065122414016	0.5039799895507907	0.4960200104492093	0.1275693277462226	100
1400	10	0.2825567081740695	0.49059002185864425	0.256732435460749	0.25267754268060666	0.39588759962802966	0.5039799895507908	0.4960200104492092	0.4034096352545779	100
1400	20	0.39959552883926586	0.49059002185864425	0.256732435460749	0.25267754268060666	0.5598696125692894	0.5039799895507908	0.4960200104492092	0.5705073773690076	100
1400	30	0.4894025745769007	0.49059002185864425	0.25673243546074903	0.25267754268060655	0.6856974366422331	0.5039799895507909	0.49602001044920907	0.6987259845237579	100
1500	1	0.08325217507404413	0.491812628953018	0.2558554347754726	0.25233193627150946	0.11678408294096128	0.503466731667007	0.49653326833299305	0.11871230854175392	100
1500	10	0.26326649339707653	0.49181262895301797	0.2558554347754725	0.2523319362715095	0.36930369654745293	0.5034667316670067	0.4965332683329931	0.37540128128860434	100
