MQ	G/MQ=1%(singlet)	G/MQ=1%(doublet)	G/MQ=2%(singlet)	G/MQ=2%(doublet)	G/MQ=3%(singlet)	G/MQ=3%(doublet)	G/MQ=4%(singlet)	G/MQ=4%(doublet)	G/MQ=5%(singlet)	G/MQ=5%(doublet)
700	0.18602269007347919	0.2534519328961706	0.2630758112110412	0.35843516091144006	0.3222007505679046	0.43899162505270517	0.37204538014695837	0.5069038657923411	0.41595938036167485	0.5667357509845525
700	0.18602269007347919	0.2534519328961706	0.2630758112110412	0.35843516091144006	0.3222007505679046	0.43899162505270517	0.37204538014695837	0.5069038657923411	0.41595938036167485	0.5667357509845525
700	0.18602269007347919	0.2534519328961706	0.2630758112110412	0.35843516091144006	0.3222007505679046	0.43899162505270517	0.37204538014695837	0.5069038657923411	0.41595938036167485	0.5667357509845525
700	0.18602269007347919	0.2534519328961706	0.2630758112110412	0.35843516091144006	0.3222007505679046	0.43899162505270517	0.37204538014695837	0.5069038657923411	0.41595938036167485	0.5667357509845525
800	0.16073765989229347	0.22092138231262973	0.2273173786037953	0.31243001508473256	0.27840579362317847	0.38264705864382303	0.32147531978458693	0.44184276462525945	0.35942033406340973	0.49399522853425976
800	0.16073765989229347	0.22092138231262973	0.2273173786037953	0.31243001508473256	0.27840579362317847	0.38264705864382303	0.32147531978458693	0.44184276462525945	0.35942033406340973	0.49399522853425976
800	0.16073765989229347	0.22092138231262973	0.2273173786037953	0.31243001508473256	0.27840579362317847	0.38264705864382303	0.32147531978458693	0.44184276462525945	0.35942033406340973	0.49399522853425976
800	0.16073765989229347	0.22092138231262973	0.2273173786037953	0.31243001508473256	0.27840579362317847	0.38264705864382303	0.32147531978458693	0.44184276462525945	0.35942033406340973	0.49399522853425976
900	0.14165406576369624	0.19586156108200467	0.20032910096830955	0.2769900760297374	0.24535203900142497	0.3392421750437871	0.2833081315273925	0.39172312216400934	0.31674812033685046	0.43795976475858966
900	0.14165406576369624	0.19586156108200467	0.20032910096830955	0.2769900760297374	0.24535203900142497	0.3392421750437871	0.2833081315273925	0.39172312216400934	0.31674812033685046	0.43795976475858966
900	0.14165406576369624	0.19586156108200467	0.20032910096830955	0.2769900760297374	0.24535203900142497	0.3392421750437871	0.2833081315273925	0.39172312216400934	0.31674812033685046	0.43795976475858966
900	0.14165406576369624	0.19586156108200467	0.20032910096830955	0.2769900760297374	0.24535203900142497	0.3392421750437871	0.2833081315273925	0.39172312216400934	0.31674812033685046	0.43795976475858966
1000	0.12670730271040828	0.17594712597150422	0.17919118594477265	0.24882681180946867	0.2194634859844369	0.30474936162836685	0.25341460542081656	0.35189425194300844	0.28332614210611634	0.39342973411800214
1000	0.12670730271040828	0.17594712597150422	0.17919118594477265	0.24882681180946867	0.2194634859844369	0.30474936162836685	0.25341460542081656	0.35189425194300844	0.28332614210611634	0.39342973411800214
1000	0.12670730271040828	0.17594712597150422	0.17919118594477265	0.24882681180946867	0.2194634859844369	0.30474936162836685	0.25341460542081656	0.35189425194300844	0.28332614210611634	0.39342973411800214
1000	0.12670730271040828	0.17594712597150422	0.17919118594477265	0.24882681180946867	0.2194634859844369	0.30474936162836685	0.25341460542081656	0.35189425194300844	0.28332614210611634	0.39342973411800214
1100	0.11466606443435438	0.15973208101386724	0.16216230346701116	0.225895275315889	0.19860744950426842	0.27666407991472614	0.22933212886870877	0.3194641620277345	0.25640111478758737	0.35717179133451066
1100	0.11466606443435438	0.15973208101386724	0.16216230346701116	0.225895275315889	0.19860744950426842	0.27666407991472614	0.22933212886870877	0.3194641620277345	0.25640111478758737	0.35717179133451066
1100	0.11466606443435438	0.15973208101386724	0.16216230346701116	0.225895275315889	0.19860744950426842	0.27666407991472614	0.22933212886870877	0.3194641620277345	0.25640111478758737	0.35717179133451066
1100	0.11466606443435438	0.15973208101386724	0.16216230346701116	0.225895275315889	0.19860744950426842	0.27666407991472614	0.22933212886870877	0.3194641620277345	0.25640111478758737	0.35717179133451066
1200	0.10474799475805908	0.14626829076940417	0.148136034818233	0.20685460055122276	0.18142884891191674	0.25334411114886585	0.20949598951611817	0.29253658153880835	0.23422363678581173	0.3270658411130928
1200	0.10474799475805908	0.14626829076940417	0.148136034818233	0.20685460055122276	0.18142884891191674	0.25334411114886585	0.20949598951611817	0.29253658153880835	0.23422363678581173	0.3270658411130928
1200	0.10474799475805908	0.14626829076940417	0.148136034818233	0.20685460055122276	0.18142884891191674	0.25334411114886585	0.20949598951611817	0.29253658153880835	0.23422363678581173	0.3270658411130928
1200	0.10474799475805908	0.14626829076940417	0.148136034818233	0.20685460055122276	0.18142884891191674	0.25334411114886585	0.20949598951611817	0.29253658153880835	0.23422363678581173	0.3270658411130928
1300	0.09643090831860213	0.13490740197181875	0.13637389837612363	0.19078787753306486	0.16702323262783517	0.2336664745323078	0.19286181663720425	0.2698148039436375	0.2156260661324443	0.3016621214768759
1300	0.09643090831860213	0.13490740197181875	0.13637389837612363	0.19078787753306486	0.16702323262783517	0.2336664745323078	0.19286181663720425	0.2698148039436375	0.2156260661324443	0.3016621214768759
1300	0.09643090831860213	0.13490740197181875	0.13637389837612363	0.19078787753306486	0.16702323262783517	0.2336664745323078	0.19286181663720425	0.2698148039436375	0.2156260661324443	0.3016621214768759
1300	0.09643090831860213	0.13490740197181875	0.13637389837612363	0.19078787753306486	0.16702323262783517	0.2336664745323078	0.19286181663720425	0.2698148039436375	0.2156260661324443	0.3016621214768759
