MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(bW_bj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(bW_bj)(fb)	kappaSinglet	sigmaDoublet(bW_bj)(fb)	kappaDoublet
700	7	1	3906.72	28	-20	189.24589667877652	0.18196062965372217	668.5226002298805	0.24945937877399285
700	70	10	390.061	28.5	-20.3	1889.4992142876943	0.5754100341841375	6674.770497201422	0.7888598206164796
700	140	20	195.356	28.9	-20.5	3785.3054625444383	0.8137526742687734	13371.820974168455	1.1156162571270323
700	140	20	195.356	29	-20.6	3785.3054625444383	0.8137526742687734	13371.820974168455	1.1156162571270323
700	210	30	129.345	29.4	-20.7	5639.055129449947	0.9966394143918706	19920.30402845879	1.366345289357413
700	210	30	129.345	29.5	-20.8	5639.055129449947	0.9966394143918706	19920.30402845879	1.366345289357413
800	8	1	3499.82	29.2	-20.7	96.43829001300197	0.15802464837853522	350.89230120423	0.21825083667889272
800	80	10	348.873	29.7	-20.9	961.3270268672684	0.4997178153234052	3497.8041670149714	0.69016974514272
800	240	30	112.32	30.4	-21.3	2785.5015003155427	0.8655366455874591	10135.092931674544	1.1954090644340543
900	9	1	3105.37	30.4	-21.3	52.344139716766136	0.13975345806095826	194.31946324321808	0.1939878911328378
900	90	10	305.037	30.7	-21.5	514.170593094645	0.44193923835744675	1908.7782167445916	0.6134435744725486
900	270	30	97.4948	31.5	-21.8	1479.0357637165152	0.7654612146933903	5490.689832291937	1.0625154385631166
1000	10	1	2743.28	31.3	-21.8	29.903320032146453	0.1253245640045215	112.60937458419664	0.1745822099980372
1000	100	10	270.119	31.8	-22	294.4451497391212	0.3963110690218405	1108.8161490372338	0.5520774225396178
1000	200	20	130.563	32	-22.1	569.2845314159889	0.5604684887292666	2143.8012559908525	0.7807553784355092
1000	300	30	84.4369	32.2	-22.2	828.3694259791605	0.6864309071477639	3119.4584040803406	0.9562261455502892
1100	11	1	2414.91	32.3	-22.3	17.78934775341255	0.1136288609745443	67.70040706964208	0.15870714058354793
1100	110	10	236.105	32.7	-22.5	173.9258999846566	0.35932600861018005	661.9047753820159	0.5018760451765559
1200	12	1	2112.56	33.2	-22.7	10.899668510012466	0.10395010776979453	41.813488299048714	0.14547913879499677
1200	120	10	205.467	33.5	-22.8	106.0098737904122	0.32871910357251677	406.6768281298824	0.4600454306319533
1300	13	1	1853.19	34	-23.1	6.898567406389772	0.09580399635564343	26.62925609858936	0.13428690241668587
1300	130	10	180.504	34.3	-23.3	67.19327274175771	0.3029588374303041	259.37368768554603	0.4246524715654968
