mass,sigmaHat(Tbj)(pb),QCDscaleUp_Tbj(%) ,QCDscaleDo_Tbj(%),sigmaHat(Ttj)(pb),QCDscaleUp_Ttj(%) ,QCDscaleDo_Ttj(%),kappaSinglet[Gamma/MQ=1%],BRsinglet(Wb)(%),BRsinglet(Zt)(%),BRsinglet(Ht)(%),kappaDoublet1[Gamma/MQ=1%],BRdoublet1(Wb)(%),kappaDoublet2[Gamma/MQ=1%],BRdoublet2(Zt)(%),BRdoublet2(Ht)(%)
600,67.9704,26.5,-19.2,200.13,26.1,-19,0.22127620349551208,0.511719496406616,0.24590194265842713,0.25223974993928877,0.2974609808158621,100,0.3310982807661673,0.4999911108055702,0.5128777406067477
700,50.9587,27.9,-20,4.21476,27.2,-19.6,0.18196062965372217,0.5067226089866307,0.24350073587922816,0.24977665513414113,0.24945937877399285,100,0.2659985466048654,0.4936385496586212,0.5063614503413789
800,34.9723,29.1,-20.7,2.99493,28.1,-20.1,0.15802464837853522,0.5046548256952248,0.24548127228386413,0.24986390202091105,0.21825083667889272,100,0.2291052804396251,0.49557618609770654,0.5044238139022934
900,24.5265,30.3,-21.3,2.16676,29,-20.6,0.13975345806095826,0.5153145810115232,0.23544886683568778,0.24923655215278898,0.1939878911328378,100,0.20150908159388245,0.48577666587755447,0.5142233341224455
1000,17.572,31.3,-21.8,1.59232,29.8,-21,0.1253245640045215,0.5089790876365377,0.24135834109138304,0.24966257127207925,0.1745822099980372,100,0.18001397626472251,0.49154391394378194,0.508456086056218
1100,12.7958,32.3,-22.3,1.18243,30.5,-21.4,0.1136288609745443,0.5067226089866307,0.24350073587922816,0.2497766551341412,0.15870714058354793,100,0.1627604662956892,0.49363854965862125,0.5063614503413789
1200,9.44201,33.2,-22.7,0.888825,31.3,-21.8,0.10395010776979453,0.5077283410381651,0.242543415731543,0.24972824323029194,0.14547913879499677,100,0.1485853798701011,0.4927023754384913,0.5072976245615086
1300,7.0287,34,-23.1,0.672689,31.9,-22.2,0.09580399635564343,0.505901661845069,0.24428506682074422,0.24981327133418682,0.13428690241668587,100,0.13672049783575732,0.49440576491909893,0.5055942350809011
1400,5.29377,34.8,-23.5,0.514142,32.6,-22.5,0.08885075759234791,0.5052227473243057,0.24493566795610738,0.24984158471958684,0.12469396424339865,100,0.12663644740398988,0.4950422975824486,0.5049577024175513
1500,4.01804,35.7,-23.9,0.305362,33.9,-23.1,0.08284470350857119,0.5126068111408597,0.23795544457556173,0.2494377442835786,0.11638033606317565,100,0.11795575719154978,0.4882207015090897,0.5117792984909103
1600,3.08212,36.3,-24.2,0.237477,34.4,-23.4,0.07760361925420972,0.5105619492434006,0.23986728856463996,0.2495707621919593,0.10910607262232529,100,0.11040157767026838,0.49008712786805264,0.5099128721319472
1700,2.37006,37,-24.6,0.144971,35.5,-23.9,0.07298942184893216,0.5320533585527671,0.2205906267975244,0.2473560146497087,0.10268771156157992,100,0.1037659965263672,0.471401239498796,0.5285987605012039
1800,1.83569,37.7,-24.9,0.144971,35.5,-23.9,0.06889551061579145,0.5037656880110104,0.24633796922986687,0.24989634275912267,0.09698257433821751,100,0.09788969041876988,0.49641462365329675,0.5035853763467032
1900,1.4261,38.4,-25.2,0.114058,36,-24.2,0.06523824710921508,0.5067226089866307,0.24350073587922824,0.24977665513414113,0.09187802853813333,100,0.09264842368959574,0.49363854965862114,0.5063614503413789
2000,1.11294,38.9,-25.5,0.114058,36,-24.2,0.06195106839685448,0.5052227473243058,0.2449356679561074,0.24984158471958684,0.0872839734594984,100,0.08794383607832325,0.49504229758244866,0.5049577024175513
2600,1.11294,38.9,-25.5,0.114058,36,-24.2,0.06195106839685448,0.5052227473243058,0.2449356679561074,0.24984158471958684,0.0872839734594984,100,0.08794383607832325,0.49504229758244866,0.5049577024175513
