MQ	kL	G/MQ(singlet)(%)	G/MQ(doublet1)(%)	G/MQ(doublet2)(%)
600	0.05	0.051058797883983036	0.02825400368500485	0.022804794198978177
600	0.1	0.20423519153593214	0.1130160147400194	0.09121917679591271
600	0.2	0.8169407661437286	0.4520640589600776	0.36487670718365084
600	0.3	1.8381167238233889	1.0171441326601747	0.8209725911632142
600	0.4	3.2677630645749143	1.8082562358403105	1.4595068287346034
650	0.05	0.06123377973858867	0.03338074812044202	0.027853031618146645
650	0.1	0.24493511895435469	0.13352299248176808	0.11141212647258658
650	0.2	0.9797404758174187	0.5340919699270723	0.4456485058903463
650	0.3	2.204416070589192	1.2017069323359129	1.0027091382532791
650	0.4	3.918961903269675	2.1363678797082892	1.7825940235613853
700	0.05	0.07550664032062669	0.040173561575625204	0.035333078745001474
700	0.1	0.30202656128250677	0.16069424630250081	0.1413323149800059
700	0.2	1.208106245130027	0.6427769852100033	0.5653292599200236
700	0.3	2.71823905154256	1.446248216722507	1.271990834820053
700	0.4	4.832424980520108	2.571107940840013	2.2613170396800943
800	0.05	0.10011296949642227	0.05248415073477377	0.047628818761648505
800	0.1	0.4004518779856891	0.20993660293909508	0.19051527504659402
800	0.2	1.6018075119427564	0.8397464117563803	0.7620611001863761
800	0.3	3.6040669018712017	1.8894294264518552	1.714637475419346
800	0.4	6.407230047771026	3.3589856470255213	3.0482444007455043
900	0.05	0.1280014480998647	0.06643405551670234	0.06156739258316234
900	0.1	0.5120057923994588	0.26573622206680936	0.24626957033264937
900	0.2	2.048023169597835	1.0629448882672374	0.9850782813305975
900	0.3	4.608052131595128	2.3916259986012838	2.2164261329938446
900	0.4	8.19209267839134	4.25177955306895	3.94031312532239
1000	0.05	0.15917234108112654	0.08202382825284399	0.07714851282828254
1000	0.1	0.6366893643245062	0.32809531301137596	0.30859405131313017
1000	0.2	2.5467574572980247	1.3123812520455038	1.2343762052525207
1000	0.3	5.730204278920555	2.952857817102383	2.7773464618181714
1000	0.4	10.187029829192099	5.249525008182015	4.937504821010083
1100	0.05	0.19362556680176055	0.09925378435359196	0.09437178244816857
1100	0.1	0.7745022672070422	0.39701513741436784	0.3774871297926743
1100	0.2	3.0980090688281687	1.5880605496574713	1.5099485191706972
1100	0.3	6.970520404863379	3.5731362367293102	3.3973841681340677
1100	0.4	12.392036275312675	6.352242198629885	6.039794076682789
1200	0.05	0.2313609829970851	0.11812411445786108	0.11323686853922404
1200	0.1	0.9254439319883404	0.47249645783144434	0.4529474741568962
1200	0.2	3.7017757279533616	1.8899858313257774	1.8117898966275847
1200	0.3	8.328995387895063	4.252468120482998	4.076527267412065
1200	0.4	14.807102911813447	7.559943325303109	7.247159586510339
1300	0.05	0.2723784584043386	0.13863493925048695	0.1337435191538517
1300	0.1	1.0895138336173544	0.5545397570019478	0.5349740766154067
1300	0.2	4.358055334469418	2.218159028007791	2.139896306461627
1300	0.3	9.80562450255619	4.99085781301753	4.814766689538661
1300	0.4	17.43222133787767	8.872636112031165	8.559585225846508
1400	0.05	0.31667788683875886	0.16078633812811477	0.1558915487106441
1400	0.1	1.2667115473550354	0.6431453525124591	0.6235661948425764
1400	0.2	5.066846189420142	2.5725814100498363	2.4942647793703054
1400	0.3	11.400403926195315	5.788308172612129	5.612095753583186
1400	0.4	20.267384757680567	10.290325640199345	9.977059117481222
1500	0.05	0.36425918594426876	0.18457836504902608	0.17968082089524268
1500	0.1	1.457036743777075	0.7383134601961043	0.7187232835809707
1500	0.2	5.8281469751083	2.9532538407844173	2.874893134323883
1500	0.3	13.113330693993674	6.644821141764938	6.468509552228737
1500	0.4	23.3125879004332	11.81301536313767	11.499572537295531
1600	0.05	0.41512229264274664	0.2100110577169006	0.20511123492584607
1600	0.1	1.6604891705709866	0.8400442308676024	0.8204449397033843
1600	0.2	6.641956682283946	3.3601769234704095	3.281779758813537
1600	0.3	14.94440253513888	7.560398077808421	7.384004457330458
1600	0.4	26.567826729135785	13.440707693881638	13.127119035254148
1700	0.05	0.4692671586430841	0.2370844431187298	0.23218271552435435
1700	0.1	1.8770686345723364	0.9483377724749192	0.9287308620974174
1700	0.2	7.508274538289346	3.793351089899677	3.7149234483896696
1700	0.3	16.89361771115103	8.535039952274271	8.358577758876756
1700	0.4	30.033098153157383	15.173404359598708	14.859693793558678
1800	0.05	0.5266937467902111	0.26579854098117883	0.26089520580903225
1800	0.1	2.1067749871608443	1.0631941639247153	1.043580823236129
1800	0.2	8.427099948643377	4.252776655698861	4.174323292944516
1800	0.3	18.960974884447598	9.568747475322438	9.392227409125162
1800	0.4	33.70839979457351	17.011106622795445	16.697293171778064
1900	0.05	0.5874020282833018	0.2961533659934862	0.29124866228981555
1900	0.1	2.349608113133207	1.1846134639739447	1.1649946491592622
1900	0.2	9.398432452532829	4.738453855895779	4.659978596637049
1900	0.3	21.146473018198854	10.661521175765497	10.484951842433357
1900	0.4	37.593729810131315	18.953815423583116	18.639914386548195
2000	0.05	0.651391980606929	0.32814892927530437	0.3232430513316246
2000	0.1	2.605567922427716	1.3125957171012175	1.2929722053264985
2000	0.2	10.422271689710865	5.25038286840487	5.171888821305994
2000	0.3	23.45011130184944	11.813361453910952	11.636749847938486
2000	0.4	41.68908675884346	21.00153147361948	20.687555285223976
