MQ,Gamma/MQ(%),sigmaHat(bHbj)(pb),sigmaSinglet(bHbj)(fb),kappaSinglet,sigmaDoublet(bHbj)(fb),kappaDoublet
700,1,29.3595,38.974690714819374,0.18602269007347919,134.30785908549248,0.2534519328961706
700,10,3.01323,400.0058151624354,0.5882553971037894,1378.431070802223,0.8014853853240554
700,20,1.42951,759.0689231593378,0.8319187607233497,2615.7724435539067,1.133471501969105
700,30,0.899324,1074.4660936723312,1.018888235610369,3702.639791474013,1.388213408905183
800,1,20.3866,19.704689774317817,0.16073765989229347,70.31533404597019,0.22092138231262973
800,10,2.10406,203.36814165457278,0.5082971110251425,725.7104262248932,0.6986147519407467
800,20,0.997896,385.80697334587734,0.7188406681268195,1376.7355141737703,0.9879904570685195
800,30,0.634127,551.6245097891237,0.8803964216360254,1968.4482282142221,1.2100362452785014
900,1,14.4417,10.655989290472647,0.14165406576369624,38.94703898128615,0.19586156108200467
900,10,1.50731,111.21875691519922,0.4479494876365591,406.498274627519,0.6193686390953278
900,20,0.718767,212.14049466046666,0.6334962406737009,775.3615257888501,0.8759195295171793
900,30,0.453577,301.2097252376274,0.7758712718109672,1100.9045327082922,1.072777951527899
1000,1,10.3654,6.04459086656779,0.12670730271040828,22.474448096468528,0.17594712597150422
1000,10,1.09224,63.69405838752011,0.4006836727413165,236.82145589062452,0.5563936658305195
1000,20,0.522658,121.91536354172892,0.5666522842122327,453.29461837281895,0.7868594682360043
1000,30,0.331303,173.87963600824472,0.694004478951261,646.5034508975905,0.9637020982279594
1100,1,7.57955,3.5870933668127454,0.11466606443435438,13.507396616546934,0.15973208101386724
1100,10,0.806876,38.186166031497926,0.3626059339401868,143.79210048581942,0.5051171914023581
1100,20,0.386494,73.16476908064071,0.5128022295751747,275.5059468129739,0.7143435826690213
1100,30,0.245694,104.64929790015518,0.6280519007103674,394.0626651813491,0.8748886392853775
1200,1,5.61999,2.2042211579354007,0.10474799475805908,8.380560030561664,0.14626829076940417
1200,10,0.601304,23.583796397345694,0.33124224377084477,89.66678354617808,0.4625409482910996
1200,20,0.289949,45.48845962517452,0.46844727357162347,172.94941808090945,0.6541316822261856
1200,30,0.184626,65.17109139953685,0.5737283958242185,247.78377694306053,0.8011444230212734
1300,1,4.18691,1.3842662203134908,0.09643090831860213,5.302707916686275,0.13490740197181875
1300,10,0.450901,14.907581557892897,0.30494130712566064,57.106465205647076,0.426614663446838
1300,20,0.219549,29.034707161472934,0.4312521322648886,111.22323817808882,0.6033242429537518
1300,30,0.140713,41.86997747576972,0.5281738372681095,160.3913017410473,0.7389182723438206
1400,1,3.16007,0.8932016657389256,0.08935227659895761,3.442029826112196,0.12519065122414016
1400,10,0.341583,9.654928675254014,0.2825567081740695,37.20610220953594,0.39588759962802966
1400,20,0.167281,18.912956718866752,0.39959552883926586,72.8827135274692,0.5598696125692894
1400,30,0.108087,27.49595407704605,0.4894025745769007,105.95803575031253,0.6856974366422331
1500,1,2.39548,0.5857761474629424,0.08325217507404413,2.268213583901076,0.11678408294096128
1500,10,0.262492,6.418820132075519,0.26326649339707653,24.854639573920913,0.36930369654745293
1500,20,0.12915,12.632623014149813,0.3723150454805525,48.9154214371773,0.5222742962919259
1500,30,0.0836186,18.402826668484096,0.4559909424942329,71.2585201914069,0.6396527658431875
1600,1,1.8359,0.3923615207788215,0.0779391724772908,1.5252706350394558,0.10943869743694687
1600,10,0.20294,4.337156001244839,0.24646530397694688,16.860309530742807,0.34607554806278357
1600,20,0.100752,8.612932717796793,0.34855457553860586,33.48201253259878,0.4894247336760904
1600,30,0.0651079,12.523150058741692,0.42689042879097966,48.68263586316077,0.5994204325019861
1700,1,1.41756,0.26711332507946567,0.07326903978953105,1.0417699581883442,0.10296498699865456
1700,10,0.158415,2.985041719042832,0.23169704770842214,11.641975502018006,0.3256038781653729
1700,20,0.0787629,5.936572733965809,0.3276691072310566,23.153255746435505,0.46047342046274736
1700,30,0.0513501,8.70839072684526,0.40131105859469723,33.963636373042824,0.5639624601238926
1800,1,1.09829,0.1838767904296883,0.0691309704650972,0.7191005891026206,0.09721613167519666
1800,10,0.124214,2.0796029870465276,0.2186113235275369,8.132857494358769,0.3074244014044619
1800,20,0.0620552,4.155737011343963,0.30916309862097524,16.252148659053972,0.4347637578706205
1800,30,0.0407645,6.14234936230315,0.3786459194595714,24.02134078251318,0.532474682718977
1900,1,0.853902,0.1278850258972664,0.06543838169593338,0.501287107585864,0.0920765970818641
1900,10,0.0977482,1.4639304145453682,0.20693433255462157,5.738353165787703,0.2911717659763038
1900,20,0.0494078,2.9598327595096205,0.29264933961937006,11.602030750217633,0.41177906042381374
1900,30,0.0324748,4.377243026843474,0.3584207778149589,17.158033012320463,0.5043242924005131
2000,1,0.66698,0.08989711704519424,0.062122607351889784,0.3530773883051877,0.08745420788416927
2000,10,0.077713,1.047433904604812,0.19644893342029296,4.113871941791516,0.27655448787982984
2000,20,0.0393858,2.1234039236670412,0.27782074595670747,8.339821524069961,0.3911071074948011
2000,30,0.026212,3.1796229404026617,0.34025953377666307,12.488197625161206,0.4790064240690566
